province,abbreviation,x0_px,y0_px,x1_px,y1_px
Hebei,冀,211,1068,432,1392
Guangdong,粤,211,1392,432,1602
Jiangsu,苏,432,1068,612,1265
Guizhou,黔,432,1265,612,1434
Inner Mongolia,蒙,432,1434,612,1602
Shanghai,沪,612,1068,800,1225
Zhejiang,浙,800,1068,958,1225
Beijing,京,958,1068,1112,1225
Shanxi,晋,612,1225,727,1434
Shandong,鲁,612,1434,727,1602
Hunan,湘,727,1225,829,1354
Chongqing,渝,727,1354,829,1478
Sichuan,川,727,1478,829,1602
Fujian,闽,829,1225,931,1329
Henan,豫,931,1225,1033,1329
Hubei,鄂,1033,1225,1112,1329
Ningxia,宁,829,1329,908,1427
Guangxi,桂,829,1427,908,1517
Tianjin,津,829,1517,908,1602
Xinjiang,新,908,1329,977,1426
Jiangxi,赣,908,1426,977,1517
Shaanxi,陕,908,1517,977,1602
Gansu,陇,977,1329,1046,1423
Liaoning,辽,977,1423,1046,1501
Qinghai,青,977,1501,1046,1556
Heilongjiang,黑,977,1556,1046,1602
Anhui,皖,1046,1329,1112,1423
Yunnan,云,1046,1423,1112,1501
Hainan,琼,1046,1501,1079,1569
Jilin,吉,1079,1501,1112,1569
Tibet,藏,1046,1569,1112,1602
