input_sha256,layer,layer_label,country,region,covered_capacity_mw,registered_capacity_mw,regional_coverage_pct,covered_source_records,registered_source_records
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Virginia,8315,8315,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Texas,4123,4123,100,2,2
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Pacific Northwest,4120,4120,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Ohio,3541,3541,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Georgia,2070,2070,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Arizona,1653,1653,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Nebraska–Iowa,1378,1378,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Illinois,1223,1223,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,United States,Indiana,1162,1162,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Hebei,3880.5703,3880.5703,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Guangdong,2515.1844,2515.1844,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Jiangsu,1921.7505,1921.7505,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Guizhou,1648.6083,1648.6083,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Inner Mongolia,1638.8532,1638.8532,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Shanghai,1599.6161,1599.6161,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Zhejiang,1344.3582,1344.3582,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Beijing,1310.3238,1310.3238,100,1,1
d892c5f4789bd81657c742c32a755801fd756df200e7787470a86b11df6f8249,capacity_register,Capacity register,China,Shanxi,1302.574,1302.574,100,1,1
